title,price,address,price_m2,rooms,toilets,direction,property_status,balconydirection,property_legal_document,apartment_type,furnishing_sell,size,apartment_feature
CẦN BÁN GẤP NHÀ MẶT TIỀN QUẬN 5 - THƯƠNG LƯƠNG - 120737173,"3,2 tỷ","38-54 Trần Hưng Đạo, Phường 7, Quận 5, Đường Trần Hưng Đạo, Phường 7, Quận 5, Tp Hồ Chí Minh","41,03 triệu/m²",4 phòng,3 phòng,,Đã bàn giao,Nam,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,78 m²,
"bán căn hộ PHA 2pn2wc 88m2 view Phú Mỹ Hưng giá 3,05 tỷ đã có sổ hồng - 120737156","3,05 tỷ","Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","34,66 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,88 m²,
Cần bán gấp căn 2PN và 3PN cc Diamond Riversise q8 view đẹp mát mẻ - 119671821,"2,65 tỷ",Võ Văn Kiệt,"36,30 triệu/m²",2 phòng,2 phòng,,Chưa bàn giao,,Đang chờ sổ,Chung cư,,,
"CĂN HỘ C/C VÕ ĐÌNH 51m2, 2 PN, 2WC, MỚI ĐẸP VÔ Ở NGAY GIÁ CHỈ 1.6 TỶ - 120395838","1,6 tỷ","thới an 14, Phường Thới An, Quận 12, Tp Hồ Chí Minh","31,37 triệu/m²",2 phòng,2 phòng,Tây,Chưa bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,51 m²,
❤️‍🔥Masteri Centre Point giá cực mềm - 120633670,"4,2 tỷ","Long Thạnh Mỹ, Phường Long Bình, Quận 9, Tp Hồ Chí Minh","56,76 triệu/m²",2 phòng,2 phòng,Tây Bắc,Đã bàn giao,Đông Nam,Hợp đồng mua bán,Chung cư,Nội thất cao cấp,74 m²,
"Võ Văn Kiệt - Chung cư Lê Thành Khu B, 72m2, 2PN, 1wc, đã có sổ - 120654322","2,15 tỷ","113/89, An Dương Vương, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","29,86 triệu/m²",2 phòng,1 phòng,Bắc,Đã bàn giao,Nam,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,72 m²,
CHUYỂN NHƯỢNG 2PN - 3PN GIÁ HOT NHẤT THỊ TRƯỜNG TRONG T11/2024 - 110043730,"1,42 tỷ","13E, Nguyễn Văn Linh, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh","28,40 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,50 m²,
Căn hộ cao cấp Wiew đẹp hót nhất Phú mỹ Hưng - 120708557,"18,6 tỷ","Đường Tôn Dật Tiên, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh","128,28 triệu/m²",3 phòng,4 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,Bàn giao thô,145 m²,
"Chủ nhà gửi bán lỗ căn hộ 3PN Vinhomes Grand Park, giá chỉ 2,85 tỷ - 117402541","2,85 tỷ","Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh","31,67 triệu/m²",3 phòng,,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,90 m²,
"Cần bán căn 2PN Diamond Riverside full nội thất view cực đẹp, lầu đẹp - 120349577","2,6 tỷ","Võ Văn Kiệt, Phường 16, Quận 8, Tp Hồ Chí Minh","35,62 triệu/m²",2 phòng,2 phòng,,Chưa bàn giao,,Đang chờ sổ,Chung cư,Nội thất đầy đủ,73 m²,
Cần sang nhượng căn 2PN City Gate góc view quận 1 có tăng nội thất - 120333753,"2,25 tỷ","Võ Văn Kiệt, Phường 16, Quận 8, Tp Hồ Chí Minh","30,82 triệu/m²",2 phòng,2 phòng,,Chưa bàn giao,,Đang chờ sổ,Chung cư,,73 m²,
"Carillon 7 - Bán Chung cư 3 Phòng ngủ, 2 WC - Diện tích: 88.6m2 - 120059838",4 tỷ,"33 Lương Minh Nguyệt, Tân Thới Hòa, Phường Tân Thới Hòa, Quận Tân Phú, Tp Hồ Chí Minh","45,15 triệu/m²",3 phòng,,Đông,Đã bàn giao,Nam,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,88.6 m²,Căn góc
VINHOMES GRAND PARK NHẬN NHÀ 450Tr/ CĂN 2PN ĐỐI DIỆN VINCOM MEGA MALL - 120704769,450 triệu,"Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh","7,50 triệu/m²",2 phòng,2 phòng,,Chưa bàn giao,,Sổ hồng riêng,Chung cư,,,
"Bán căn Sunrise Riverside 1 phòng ngủ Giá 1,65 Tỷ nhà mới - 120560904","1,65 tỷ","Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh",50 triệu/m²,1 phòng,,,Đã bàn giao,,Hợp đồng mua bán,Officetel,Hoàn thiện cơ bản,33 m²,
CÓ SỔ DLUSSO  2PN CÓ NT BÁN 4.1 TỶ - 116042832,"4,1 tỷ","Nguyễn Thị Định, Phường An Phú, Quận 2, Tp Hồ Chí Minh","59,85 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,68.5 m²,
Bán Căn Orchid Park Đã Có Sổ - Kèm nội thất đầy đủ - 116516728,"1,96 tỷ","15B, Nguyễn Lương Bằng, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh","27,22 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,72 m²,
Chuyên chuyển nhượng căn hộ Sunrise Riverside (1PN) - (2PN) - (3PN) - 120686612,"1,6 tỷ","Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","59,26 triệu/m²",2 phòng,,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,27 m²,
"Căn hộ Quận 10 giá rẻ 33m2 chỉ 1tỷ6 bao sang tên, có HĐT 9,5tr - 120622471","1,6 tỷ","Số 181, Cao Thắng, Phường 12, Quận 10, Tp Hồ Chí Minh","47,06 triệu/m²",1 phòng,1 phòng,,Đã bàn giao,,Hợp đồng đặt cọc,Officetel,Hoàn thiện cơ bản,34 m²,
2PN 70m2 The Parkland Q12 Chính chủ cần bán - 116013787,"2,1 tỷ","Nguyễn Thị Búp, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh",30 triệu/m²,2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,70 m²,Căn góc
Căn Hộ Cao Cấp Quận 7 Nhận Nhà ở Ngay Sunshine Diamond River - 120587541,"5,2 tỷ","422, Đường Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","47,27 triệu/m²",2 phòng,2 phòng,Bắc,Đã bàn giao,Nam,Đang chờ sổ,Chung cư,Nội thất cao cấp,110 m²,
"Bán nhanh căn hộ Lovera Vista - 52m2, sổ hồng view hồ bơi, giá 1,9 tỷ - 120736731","1,9 tỷ","Trịnh Quang Nghị, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh","35,85 triệu/m²",1 phòng,1 phòng,Đông Nam,Đã bàn giao,,Sổ hồng riêng,Chung cư,,53 m²,
Chung cư toà Erica Lumier Boularvard 1PN+ khu Vinhomes Grand Park - 120736728,5 tỷ,"Toà Erica, Đường vành đai 3 TP.HCM, Phường Long Bình, Quận 9, Tp Hồ Chí Minh","90,91 triệu/m²",2 phòng,1 phòng,Tây Bắc,Đã bàn giao,Đông Nam,Đang chờ sổ,Chung cư,Nội thất đầy đủ,55 m²,
Bán nhanh căn góc 2PN DT 69m2 chung cư Sunview Town Gò Dưa Thủ Đức - 119636254,"2,15 tỷ","Số 8, Gò Dưa, Phường Hiệp Bình Phước, Quận Thủ Đức, Tp Hồ Chí Minh","31,16 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,69 m²,Căn góc
Sunview Town Thủ Đức - Bán nhanh căn 2PN 2WC view công viên nội khu - 118998157,"1,87 tỷ","Số 8, Gò Dưa, Phường Hiệp Bình Phước, Quận Thủ Đức, Tp Hồ Chí Minh","32,81 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,57 m²,
Bán Căn Hộ Imperial Place đã có sổ 2PN 56m2 giá 1.850 tỷ - 120029491,"1,85 tỷ","Kinh Dương Vương, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","33,04 triệu/m²",2 phòng,1 phòng,,Chưa bàn giao,,Hợp đồng mua bán,Chung cư,,56 m²,
"Bán nhanh căn hộ 52m2 Lovera Vista sổ hồng sẵn view hồ bơi1,9 tỷ - 120736494","1,9 tỷ","Trịnh Quang Nghị, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh","35,85 triệu/m²",1 phòng,,Đông Nam,Đã bàn giao,,Sổ hồng riêng,Chung cư,,53 m²,
Căn hộ 1PN Hướng mát - Sổ hồng sang tay - Ngân hàng hỗ trợ vay 80% - 106068839,"1,88 tỷ","Trịnh Quang Nghị, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh","36,15 triệu/m²",1 phòng,1 phòng,Đông Bắc,Đã bàn giao,Tây Nam,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,52 m²,
3PN/2WC Lovera Vista giá ưu đãi - Nhận nhà ở ngay - Ngân hàng hỗ trợ - 106019850,"2,7 tỷ","Trịnh Quang Nghị, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh","33,75 triệu/m²",3 phòng,2 phòng,Đông Nam,Đã bàn giao,Tây Bắc,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,80 m²,
"Q7 RIVERSIDE BÁN 1PN 2.3TỶ, 2PN 2.75TỶ, 3PN 3.9TỶ 4 BLOCK GIÁ TỐT - 110555421","2,3 tỷ",Số 4 Đường Đào Trí,"43,40 triệu/m²",1 phòng,1 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,53 m²,
"Chung cư Florida Anh Đào quận 9 cũ, 1PN+ view nhà phố và Global City - 120736438","2,1 tỷ","Chung cư Florida Anh Đào, Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Tp Hồ Chí Minh","38,18 triệu/m²",1 phòng,1 phòng,Bắc,Đã bàn giao,Nam,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,55 m²,
Chung cư đất liền Bình Thạnh giá rẻ - 120736401,"1,7 tỷ","cư xá Thanh Đa, Phường 27, Quận Bình Thạnh, Tp Hồ Chí Minh","82,13 triệu/m²",1 phòng,,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,20.7 m²,
Giỏ hàng nắm nhiều căn chuyển nhượng Saigon South Residence giá tốt - 120686508,"3,5 tỷ","Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","53,85 triệu/m²",2 phòng,,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,65 m²,
"Bán căn hộ Lovera Vista Khang Điền 52m2 sổ hồng view hồ bơi 1,9 tỷ - 120736342","1,9 tỷ","Trịnh Quang Nghị, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh","35,85 triệu/m²",1 phòng,1 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,53 m²,0
Căn Hộ chung cư Tân Mỹ bán gấp - 120736317,980 triệu,"Đường Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh","25,79 triệu/m²",1 phòng,1 phòng,Bắc,Đã bàn giao,Đông,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,38 m²,Căn góc
Căn hộ Green River Q8 nội thất cao cấp - 120736313,"3,15 tỷ","Số 2225, Phạm Thế Hiển, Phường 6, Quận 8, Tp Hồ Chí Minh","43,75 triệu/m²",2 phòng,2 phòng,Đông Nam,Đã bàn giao,Tây Bắc,Sổ hồng riêng,Chung cư,Nội thất cao cấp,72 m²,
"Rổ hàng 10 căn 1 phòng ngủ cộng, dự án Vinhomes Granpark, cần tiền gấp - 119093632","1,8 tỷ","Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh","38,30 triệu/m²",1 phòng,,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,47 m²,
"GIỎ HÀNG CĂN HỘ PARK LEGEND NGAY SÂN BAY TÂN SƠN NHẤT, HỖ TRỢ LS - 118750921","5,6 tỷ","Hoàng Văn Thụ, Phường 2, Quận Tân Bình, Tp Hồ Chí Minh",80 triệu/m²,2 phòng,2 phòng,,Chưa bàn giao,,Hợp đồng mua bán,Chung cư,,70 m²,
Bán căn hộ chung cư Era Town Đức Khải Q7 tp Hcm - 120736143,"4,65 tỷ","D1, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh","38,43 triệu/m²",3 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,Nội thất cao cấp,121 m²,
"Bán căn góc 2PN có ban công, view đẹp. giá 2.070ty. NH hỗ trợ 70% - 120533479","2,07 tỷ","Lô 5, Bình Hưng Hòa B, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh","39,06 triệu/m²",2 phòng,2 phòng,,Chưa bàn giao,,Hợp đồng mua bán,Chung cư,,53 m²,
Bán căn Golden Mansion 3PN 2WC có 3 ban công rộng gần sân bay full NT - 120736096,"6,5 tỷ","119, Phổ Quang, Phường 9, Quận Phú Nhuận, Tp Hồ Chí Minh","63,11 triệu/m²",3 phòng,2 phòng,,Đã bàn giao,,Hợp đồng đặt cọc,Chung cư,Nội thất cao cấp,103 m²,
"Bán căn 52m2 Lovera Vista Khang Điền, view hồ bơi giá 1,9 tỷ - 120736080","1,9 tỷ","Trịnh Quang Nghị, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh","35,85 triệu/m²",1 phòng,1 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,53 m²,
Bán căn Góc Full Nội thất 2PN nhà đẹp chỉ 2tỷ. thanh toán 30% ở liền - 120736045,2 tỷ,"Lô 5, Bình Hưng Hòa B, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh","37,74 triệu/m²",2 phòng,1 phòng,,Chưa bàn giao,,Hợp đồng mua bán,Chung cư,,53 m²,
BÁN NHÀ MỚI MOONLIGHT 2PN 68M2 CÓ NT - 111333866,"3,1 tỷ","Số 102, Bình Thọ, Phường Bình Thọ, Quận Thủ Đức, Tp Hồ Chí Minh","45,59 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,68 m²,
"Bán căn Lovera Vista Khang Điền 53m2 sổ hồng view hồ bơi giá 1,9 tỷ. - 120353829","1,9 tỷ","Trịnh Quang Nghị, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh","35,85 triệu/m²",1 phòng,1 phòng,,Đã bàn giao,Đông Bắc,Sổ hồng riêng,Chung cư,,53 m²,
"Bán căn Lovera Vista Khang Điền 53m2 - 1PN+ và 1WC view đẹp - 1,9 tỷ. - 120353624","1,9 tỷ","Trịnh Quang Nghị, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh","35,85 triệu/m²",1 phòng,1 phòng,Đông Nam,Đã bàn giao,Đông Bắc,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,53 m²,
"Bán căn 65m2 2PN + 2WC Lovera Vista, sổ hồng view Đông Bắc giá 2,35 tỷ - 120353285","2,35 tỷ","Trịnh Quang Nghị, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh","35,82 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,Đông Bắc,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,65.6 m²,
"IDICO TÂN PHÚ BÁN GẤP CĂN 2PN, GIÁ THƯƠNG LƯỢNG, NHẬN NHÀ Ở NGAY - 120258961","1,68 tỷ","262/13, Lũy Bán Bích, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh","36,52 triệu/m²",2 phòng,,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,Nội thất đầy đủ,46 m²,
CẦN BÁN CĂN HỘ 2PN - 2WC - NỘI THẤT CƠ BẢN Ở VINHOME GRANDPARK Q9 - 118488296,"2,65 tỷ","Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh","43,44 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,61 m²,
BÁN CĂN HỘ THE PRIVIA KHANG ĐIỀN - 119951953,"2,27 tỷ","An Dương Vương, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","64,86 triệu/m²",1 phòng,1 phòng,Tây,Chưa bàn giao,Đông,Đang chờ sổ,Chung cư,Hoàn thiện cơ bản,35 m²,
"GV - Bán Tòa Nhà CHDV 160m2, 7 tầng, Thu Nhập 100tr/tháng, Đầy Đủ PCCC - 120187070",25 tỷ,"Đường Lê Đức Thọ, Phường 15, Quận Gò Vấp, Tp Hồ Chí Minh","156,25 triệu/m²",nhiều hơn 10 phòng,Nhiều hơn 6 phòng,,Đã bàn giao,,Sổ hồng riêng,"Căn hộ dịch vụ, mini",Nội thất đầy đủ,160 m²,
"Chợ Tốt - Website Mua Bán, Rao Vặt Trực Tuyến Hàng Đầu Của Người Việt - Chợ Tốt",,,,,,,,,,,,,
"Bán Căn Hộ Celesta Rise KeppeLand 2PN2WC 85m2 Giá 3,8 Tỷ View đẹp - 118244816","3,8 tỷ","Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","44,71 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,Hoàn thiện cơ bản,85 m²,
"Chung cư Tín Phong 51m² ,đã có sổ sở hữu lâu dài , - 112788040","1,3 tỷ","Tân Thới Nhất 8, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh","25,49 triệu/m²",1 phòng,1 phòng,,Chưa bàn giao,Bắc,Sổ hồng riêng,"Căn hộ dịch vụ, mini",,51 m²,
"Bán Căn Hộ Belleza Q7-46m2,1Pn+ Căn Góc+View Sông + Lầu Cao 💰1.75 Tỷ 🔥 - 120708120","1,75 tỷ","Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh","38,04 triệu/m²",1 phòng,1 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,46 m²,Căn góc
Chỉ với 400 triệu bạn sở hữu ngay căn hộ mơ ước - 120735389,"1,8 tỷ","Đường Song Hành Xa lộ Hà Nội, Phường Linh Trung, Quận Thủ Đức, Tp Hồ Chí Minh","37,50 triệu/m²",2 phòng,,,Chưa bàn giao,,Sổ hồng riêng,Chung cư,,48 m²,
Bán căn 34m2 Lê Thành Tân Tạo. Bình Tân giá chỉ 590tr bao phí. - 120685576,590 triệu,"Phường Tân Tạo, Bình Tân, Hồ Chí Minh, Phường Tân Tạo, Quận Bình Tân, Tp Hồ Chí Minh","17,40 triệu/m²",1 phòng,,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,33.9 m²,
"✅✅Bán Căn Hộ Đức Khải Q7-61m2,2Pn,2wc*Căn Góc ✅Sổ Hồng💰2.25 Tỷ 🔥🔥 - 120721518","2,25 tỷ","D1, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh","36,89 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,61 m²,Căn góc
"Bán căn hộ chung cư Giá Tốt Era Town Đức Khải Quận 7, TP HCM - 120735183",3 tỷ,"D1, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh","18,63 triệu/m²",3 phòng,4 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,Hoàn thiện cơ bản,161 m²,
