price,address,price_m2,direction,property_legal_document,commercial_type,furnishing_sell,size
33 tỷ,"Đường Nguyễn Xuân Khoát, Phường Tân Thành, Quận Tân Phú, Tp Hồ Chí Minh","198,80 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,166 m²
"5,30 tỷ","Số 2225, Phạm Thế Hiển, Phường 6, Quận 8, Tp Hồ Chí Minh","35,10 triệu/m²",Đông Nam,Đã có sổ,Shophouse,Hoàn thiện cơ bản,151 m²
230 triệu,"Đường Tân Quý, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh","4,10 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,,56.13 m²
100 triệu,"309/1, Đường Nguyễn Oanh, Phường 17, Quận Gò Vấp, Tp Hồ Chí Minh",500.000 đ/m²,,Đã có sổ,Mặt bằng kinh doanh,,200 m²
"5,30 tỷ","Số 2225, Phạm Thế Hiển, Phường 6, Quận 8, Tp Hồ Chí Minh","35,33 triệu/m²",,Đã có sổ,Shophouse,Hoàn thiện cơ bản,150 m²
750 triệu,"phạm văn sáng, Xã Tân Thông Hội, Huyện Củ Chi, Tp Hồ Chí Minh","6,52 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,115 m²
160 tỷ,"Đường Trần Quang Diệu, Phường 3, Quận 3, Tp Hồ Chí Minh",400 triệu/m²,,Đã có sổ,Mặt bằng kinh doanh,,400 m²
70 tỷ,Đường Phổ Quang,"374,33 triệu/m²",,Đã có sổ,Văn phòng,,187 m²
320 tỷ,Đường Lê Thị Riêng,"1,28 tỷ/m²",,Đã có sổ,Mặt bằng kinh doanh,,250 m²
330 tỷ,"TRẦN QUỐC THẢO, Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh","605,50 triệu/m²",,,Shophouse,,545 m²
108 tỷ,"Đường Nguyễn Quang Bích, Phường 13, Quận Tân Bình, Tp Hồ Chí Minh","282,72 triệu/m²",,Đã có sổ,Văn phòng,,382 m²
99 tỷ,Nguyễn Văn Thủ,"634,62 triệu/m²",,Đã có sổ,Văn phòng,Nội thất đầy đủ,156 m²
86 tỷ,"Đường Cao Thắng, Phường 5, Quận 3, Tp Hồ Chí Minh","682,54 triệu/m²",,Đã có sổ,Văn phòng,,126 m²
145 tỷ,"Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh","828,57 triệu/m²",,Đã có sổ,Văn phòng,,175 m²
386 tỷ,Đường Cao Thắng,"919,05 triệu/m²",,,Văn phòng,,420 m²
179 tỷ,"Pastuer, Phường Nguyễn Thái Bình, Quận 1, Tp Hồ Chí Minh","1,12 tỷ/m²",,Đã có sổ,Văn phòng,,160 m²
880 tỷ,"Sương Nguyệt Anh, Phường Bến Thành, Quận 1, Tp Hồ Chí Minh","961,75 triệu/m²",,,Shophouse,,915 m²
80 tỷ,"Đường Hậu Giang, Phường 4, Quận Tân Bình, Tp Hồ Chí Minh","533,33 triệu/m²",,Đã có sổ,Văn phòng,,150 m²
120 tỷ,"Đường Lý Tự Trọng, Phường Bến Thành, Quận 1, Tp Hồ Chí Minh","255,86 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,469 m²
650 tỷ,"Đường Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh","3,28 tỷ/m²",,Đã có sổ,Mặt bằng kinh doanh,,198 m²
60 tỷ,"Cửu Long, Phường 2, Quận Tân Bình, Tp Hồ Chí Minh","363,64 triệu/m²",,,Văn phòng,,165 m²
200 tỷ,"Cửu Long, Phường 2, Quận Tân Bình, Tp Hồ Chí Minh","462,96 triệu/m²",,Đã có sổ,Văn phòng,,432 m²
550 tỷ,Lê Văn Sỹ,550 triệu/m²,,,Mặt bằng kinh doanh,,1000 m²
"5,80 tỷ","Trịnh Quang Nghị, Phường 7, Quận 8, Tp Hồ Chí Minh","39,73 triệu/m²",Tây Bắc,Đang chờ sổ,Shophouse,Hoàn thiện cơ bản,146 m²
"1,50 tỷ","Số 2225, Phạm Thế Hiển, Phường 6, Quận 8, Tp Hồ Chí Minh","9,93 triệu/m²",Đông Nam,Đã có sổ,Shophouse,Hoàn thiện cơ bản,151 m²
140 tỷ,"Đường Trần Khắc Chân, Phường Tân Định, Quận 1, Tp Hồ Chí Minh","744,68 triệu/m²",,Đã có sổ,Văn phòng,,188 m²
"21,50 tỷ","Đường Phan Huy ích, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh","197,25 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Hoàn thiện cơ bản,109 m²
28 tỷ,"Đường Nguyễn Tư Giản, Phường 12, Quận Gò Vấp, Tp Hồ Chí Minh","110,24 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Bàn giao thô,254 m²
200 triệu,"Bờ Bao, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh",2 triệu/m²,,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,100 m²
14 triệu,"Tân Phú, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",291.666 đ/m²,,Đã có sổ,Mặt bằng kinh doanh,,48 m²
21 tỷ,"Đường Thái Thị Giữ, Xã Bà Điểm, Huyện Hóc Môn, Tp Hồ Chí Minh",35 triệu/m²,,Đã có sổ,Mặt bằng kinh doanh,,600 m²
120 triệu,"Phạm Văn Đồng, Phường 11, Quận Bình Thạnh, Tp Hồ Chí Minh",3 triệu/m²,,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,40 m²
220 triệu,"Lý Thường Kiệt, Phường 15, Quận 11, Tp Hồ Chí Minh","3,14 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,70 m²
440 triệu,"Cn1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","1,10 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,400 m²
350 triệu,"Đường Số 25, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,75 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,200 m²
21 triệu,"Đường Bùi Văn Thêm, Phường 9, Quận Phú Nhuận, Tp Hồ Chí Minh",262.500 đ/m²,,Đã có sổ,Mặt bằng kinh doanh,Bàn giao thô,80 m²
22 tỷ,"Đường Phan Anh, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh","171,88 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,128 m²
65 triệu,"Đường Nguyễn Tri Phương, Phường 4, Quận 10, Tp Hồ Chí Minh","2,71 triệu/m²",Tây Nam,Giấy tờ khác,Mặt bằng kinh doanh,,24 m²
11 tỷ,Đường Tân Sơn,"117,02 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,94 m²
31 tỷ,"Đường số 10, Phường Trường Thọ (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","63,79 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Hoàn thiện cơ bản,486 m²
"7,50 tỷ","664/5B, Đường Vườn Lài, Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh","68,18 triệu/m²",Đông Nam,Đã có sổ,Mặt bằng kinh doanh,,110 m²
"2,20 tỷ","Đường Trịnh Thị Miếng, Xã Thới Tam Thôn, Huyện Hóc Môn, Tp Hồ Chí Minh","29,33 triệu/m²",Đông Nam,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,75 m²
"15,20 tỷ","Đường Nguyễn Thiện Thuật, Phường 3, Quận 3, Tp Hồ Chí Minh","562,96 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,27 m²
"12,50 tỷ","Đường Nguyễn Đình Thi, Phường Phước Long B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","86,81 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,144 m²
"4,10 tỷ","399, Đường Nguyễn Thần Hiến, Phường 18, Quận 4, Tp Hồ Chí Minh","46,59 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,88 m²
"39,50 tỷ","Đường Quốc lộ 1K, Phường Linh Xuân (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","45,35 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Hoàn thiện cơ bản,871 m²
130 triệu,"139A, Đường Trần Văn Quang, Phường 10, Quận Tân Bình, Tp Hồ Chí Minh","1,16 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,112 m²
220 triệu,"Lý Thường Kiệt, Phường 15, Quận 11, Tp Hồ Chí Minh","3,14 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,70 m²
"19,50 tỷ","Phạm Văn Nghị, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh","69,64 triệu/m²",Tây,Đã có sổ,Shophouse,Hoàn thiện cơ bản,280 m²
25 triệu,"Gần Ngay Tô Hiến Thành, Phường 15, Quận 11, Tp Hồ Chí Minh",357.142 đ/m²,,Đã có sổ,Mặt bằng kinh doanh,,70 m²
59 triệu,"458/4A, Đường Huỳnh Tấn Phát, Phường Bình Thuận, Quận 7, Tp Hồ Chí Minh",491.666 đ/m²,,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,120 m²
"8,50 tỷ","Mai Chí Thọ, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","146,55 triệu/m²",,Đang chờ sổ,Shophouse,,58 m²
"2,30 tỷ",15B Đường Nguyễn Lương Bằng,46 triệu/m²,,Đã có sổ,Shophouse,,50 m²
"29,54 tỷ","Long Thạnh Mỹ, Phường Long Bình (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","149,37 triệu/m²",Đông Nam,Giấy tờ khác,Shophouse,Hoàn thiện cơ bản,197.77 m²
"8,30 tỷ","Đường Nguyễn Hữu Tiến, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh","88,23 triệu/m²",Nam,Đã có sổ,Mặt bằng kinh doanh,,94.075 m²
250 triệu,"Xxx, Phường Bình Hưng Hòa, Quận Bình Tân, Tp Hồ Chí Minh","1,25 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,200 m²
"16,90 tỷ","Đường Hiệp Bình, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","140,83 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,120 m²
"9,50 tỷ","B13/17, Đường Cây Cám, Xã Vĩnh Lộc B, Huyện Bình Chánh, Tp Hồ Chí Minh","47,50 triệu/m²",Tây,Giấy tờ khác,Mặt bằng kinh doanh,,200 m²
"3,85 tỷ","135, Đường Thích Quảng Đức, Phường 4, Quận Phú Nhuận, Tp Hồ Chí Minh","132,76 triệu/m²",Đông Bắc,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,29 m²
"2,30 tỷ","15B, Nguyễn Lương Bằng, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh",46 triệu/m²,,Đã có sổ,Shophouse,Hoàn thiện cơ bản,50 m²
10 tỷ,"Hoàng Quốc Việt, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","121,95 triệu/m²",,Đã có sổ,Shophouse,Hoàn thiện cơ bản,82 m²
18 tỷ,"Đường Hữu Nghị, Phường Bình Thọ (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","192,10 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,93.7 m²
34 tỷ,"Đường Nguyễn Duy Trinh, Phường Bình Trưng Đông (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","136,55 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,249 m²
"4,75 tỷ","Đường Số 24, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh","91,35 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Nội thất cao cấp,52 m²
16 tỷ,"Đường Trần Quang Khải, Phường Tân Định, Quận 1, Tp Hồ Chí Minh","235,29 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,,68 m²
162 tỷ,"Đường số 40, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh","214,29 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Nội thất cao cấp,756 m²
22 tỷ,"Đường Phan Anh, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh","171,88 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,128 m²
16 tỷ,"Đường Lê Thiệt, Phường Phú Thọ Hòa, Quận Tân Phú, Tp Hồ Chí Minh","114,29 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,140 m²
42 tỷ,"Trần Quang Khải, Phường Tân Định, Quận 1, Tp Hồ Chí Minh","306,57 triệu/m²",,Đã có sổ,Văn phòng,,137 m²
"15,90 tỷ","3A, Đường Bình Giã, Phường 13, Quận Tân Bình, Tp Hồ Chí Minh","206,49 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Nội thất cao cấp,77 m²
10 tỷ,"45b, Đường Đồng Xoài, Phường 13, Quận Tân Bình, Tp Hồ Chí Minh","384,62 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Nội thất cao cấp,26 m²
20 tỷ,"Đường Lê Văn Khương, Xã Đông Thạnh, Huyện Hóc Môn, Tp Hồ Chí Minh","41,67 triệu/m²",Đông Nam,Đã có sổ,Mặt bằng kinh doanh,,480 m²
22 tỷ,"Đường Nguyễn Trãi, Phường 7, Quận 5, Tp Hồ Chí Minh","350,32 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,62.8 m²
"10,50 tỷ","Đường Phạm Văn Đồng, Phường 1, Quận Gò Vấp, Tp Hồ Chí Minh","134,62 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,78 m²
"4,59 tỷ","Đường Trần Thị Bốc, Xã Thới Tam Thôn, Huyện Hóc Môn, Tp Hồ Chí Minh","45,90 triệu/m²",Tây Bắc,Đã có sổ,Mặt bằng kinh doanh,Hoàn thiện cơ bản,100 m²
550 triệu,"116A, Đường Phạm Phú Thứ, Phường 11, Quận Tân Bình, Tp Hồ Chí Minh",916.666 đ/m²,Nam,Giấy tờ khác,Mặt bằng kinh doanh,,600 m²
550 triệu,"123, Đường Hoàng Hoa Thám, Phường 6, Quận Bình Thạnh, Tp Hồ Chí Minh","1,96 triệu/m²",Đông,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,280 m²
"39,50 tỷ","Đường Tân Hương, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh","235,12 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,168 m²
12 tỷ,"Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","64,86 triệu/m²",,Giấy tờ khác,Shophouse,Bàn giao thô,185 m²
"28,40 tỷ","10, Liên Khu 2-5, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh","66,67 triệu/m²",Nam,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,426 m²
28 tỷ,"Đường N1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","102,19 triệu/m²",Nam,Giấy tờ khác,Shophouse,Bàn giao thô,274 m²
35 tỷ,"Đường Trường Chinh, Phường 14, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam, Phường 14, Quận Tân Bình, Tp Hồ Chí Minh","3,18 tỷ/m²",Đông Bắc,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,11 m²
"19,50 tỷ","Đường Trịnh Đình Trọng, Phường Phú Trung, Quận Tân Phú, Tp Hồ Chí Minh","97,50 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,200 m²
11 tỷ,"Đường Số 12, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh",110 triệu/m²,,Đã có sổ,Mặt bằng kinh doanh,Nội thất cao cấp,100 m²
"11,50 tỷ","Đường Phạm Văn Bạch, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh","109,52 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,105 m²
"12,99 tỷ","Hiệp Thành 13, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh","27,06 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,480 m²
900 tỷ,"Đường Thủ Khoa Huân, Phường Bến Thành, Quận 1, Tp Hồ Chí Minh","2,53 tỷ/m²",,Đã có sổ,Văn phòng,,356 m²
35 triệu,"Lê Lợi, Phường 4, Quận Gò Vấp, Tp Hồ Chí Minh",175.000 đ/m²,,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất cao cấp,200 m²
120 triệu,"Phạm Văn Đồng, Phường 11, Quận Bình Thạnh, Tp Hồ Chí Minh","3,75 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,32 m²
