title,price,address,price_m2,direction,property_legal_document,commercial_type,furnishing_sell,size
sang quán nhậu - 120109543,250 triệu,"Đường Vĩnh Khánh, Phường 8, Quận 4, Tp Hồ Chí Minh","4,17 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,,60 m²
Cần tiền bán gấp nhà Xưởng 832m2 mặt tiền đường Bình Chiểu - 119663283,41 tỷ,"Đường Bình Chiểu, Phường Bình Chiểu, Quận Thủ Đức, Tp Hồ Chí Minh","49,28 triệu/m²",Đông Bắc,Đã có sổ,Mặt bằng kinh doanh,,832 m²
"Chính chủ bán MT KD 8M Nguyễn Xiển - Vinhome , HD thuê 30tr/t 10.5 tỷ - 120108897","10,5 tỷ","Đường Nguyễn Xiển, Phường Long Bình, Quận 9, Tp Hồ Chí Minh","65,62 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,160 m²
Bán nhà 5×19m mặt tiền lê văn qươi - 120107725,"14,5 tỷ","Đường Lê Văn Quới, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh","152,63 triệu/m²",Nam,Đã có sổ,Mặt bằng kinh doanh,,95 m²
Sang GẤP!!! quán bún bò - bò kho mặt tiền đường Trương Phước Phan - 119934816,130 triệu,"Đường Trương Phước Phan, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh","2,71 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,,48 m²
Sang quán cafe căn góc 2 mặt tiền đẹp khu Bàu Cát Tân Bình - 119997958,200 triệu,"Xxxx, Phường 14, Quận Tân Bình, Tp Hồ Chí Minh","2,86 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,,70 m²
Bán gấp xưởng 1500m. MT Dương Công Khi.HM xưởng hoàn công đầy đủ - 114296931,"35,499 tỷ","Dương Công Khi, Xã Tân Xuân, Huyện Hóc Môn, Tp Hồ Chí Minh","23,67 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,1500 m²
Sang Quán Căn Góc Khu Bàu Cát. Tân Bình - 119996256,10 triệu,"Thành Phố Cf Khu Bầu Cát, Phường 14, Quận Tân Bình, Tp Hồ Chí Minh",100.000 đ/m²,,Đã có sổ,Mặt bằng kinh doanh,,100 m²
Sang nhượng cafe ĐẸP; LỜI 50tr/1th cho ai TỰ làm (KO sang thương hiệu) - 119995081,600 triệu,"369 , Đường Nguyễn Thái Bình, Phường 12, Quận Tân Bình, Tp Hồ Chí Minh","3,33 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Nội thất cao cấp,180 m²
Sang gấp quán Beer Garden 600m² khu sầm uất Tân Phú - 119166256,800 triệu,"Xxx, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh","1,33 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,,600 m²
"Bán 8sạp chợ mở thành 1 tiệm nail, giá 989 tr, chợ nhật tảo, q 10 - 114995703",989 triệu,"Chợ nhật tảo, Nguyễn Tri Phương, Phường 4, Quận 10, Tp Hồ Chí Minh","41,21 triệu/m²",,Giấy tờ khác,Mặt bằng kinh doanh,,24 m²
"Bán nhà xưởng 28 tỷ,27m x 62m,2 lầu mặt tiền Kênh A,xã lê minh xuân,BC - 120106526",28 tỷ,"d6/98, Đường Kênh A, Xã Lê Minh Xuân, Huyện Bình Chánh, Tp Hồ Chí Minh","16,80 triệu/m²",Tây Bắc,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,1667 m²
Mặt tiền Bình Hưng Hòa B 400m2 khu dân cư Vĩnh Lộc - 116540473,"9,5 tỷ","Đường số 1, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh","23,75 triệu/m²",,Đang chờ sổ,Mặt bằng kinh doanh,,400 m²
Chính Chủ Cần Bán Mặt Tiền Lê Quang Định P14 BT CN 75m2 Giá Chỉ 19 tỷ - 120078913,19 tỷ,"Đường Lê Quang Định, Phường 14, Quận Bình Thạnh, Tp Hồ Chí Minh","253,33 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,75 m²
"Bán căn hộ trệt Green Town 68m2/ 2PN, vừa ở vừa KD, giá 3.1 tỷ - 119404285","3,1 tỷ","Lô 5, Bình Hưng Hòa B, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh","45,59 triệu/m²",,Giấy tờ khác,Shophouse,Nội thất đầy đủ,68 m²
Shophouse 1 trệt 1 lửng 65m2 tại D-Vela chỉ 3 tỷ vừa ở vừa kinh doanh - 118837224,3 tỷ,"Số 1177, Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","46,15 triệu/m²",Đông Nam,Đang chờ sổ,Shophouse,Hoàn thiện cơ bản,65 m²
Cần bán nhà mặt tiền đường Minh Phụng - 120075937,16 tỷ,"500, Đường Minh Phụng, Phường 9, Quận 11, Tp Hồ Chí Minh","313,73 triệu/m²",Tây Nam,Đã có sổ,Mặt bằng kinh doanh,,51 m²
"BÁN XƯỞNG_11X43, 473M2, cách Aeon tân phú 500m2 - 117783918","22,5 tỷ","Đường CN1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","47,57 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,473 m²
"BÁN NHÀ MT KHU TÊN LỬA. 6X18, 3 lầu - 117224778","13,9 tỷ","Đường 29, Phường Bình Trị Đông B, Quận Bình Tân, Tp Hồ Chí Minh","141,84 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,98 m²
BÁN NHÀ GÓC 2MT LÊ THỊ HÀ TRUNG TÂM HÓC MÔN - 120101811,"25,5 tỷ","Đường Lê Thị Hà, Xã Tân Xuân, Huyện Hóc Môn, Tp Hồ Chí Minh","99,61 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,256 m²
cần sang nhượng tiệm tóc-spa-makeup gấp - 120074264,70 triệu,"Đường Nhật Tảo, Phường 4, Quận 10, Tp Hồ Chí Minh","2,12 triệu/m²",Bắc,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,33 m²
Cần bán nhà - 120018260,10 tỷ,"348 quốc lộ 1A , kp 3 phường tam bình, tp thu Đức , Phường Tam Bình, Quận Thủ Đức, Tp Hồ Chí Minh","41,49 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Hoàn thiện cơ bản,241 m²
"💥 Nhà Mặt Tiền 785 Phan Văn Trị, P.7, Gò Vấp - 120016801","6,6 tỷ","Đường Phan Văn Trị, Phường 7, Quận Gò Vấp, Tp Hồ Chí Minh","146,67 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,45 m²
BÁN NHÀ MẶT PHỐ - 118506719,"25,5 tỷ",Đường Mã Lò,"86,44 triệu/m²",Đông,Đã có sổ,Mặt bằng kinh doanh,Hoàn thiện cơ bản,295 m²
Hẻm xe hơi Lê Văn Quới 8.5x10 - 1 lầu 6.7 tỷ - 119296916,"6,7 tỷ","Đường Lê Văn Quới, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh","78,82 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,85 m²
"Nhà mặt tiền Tô Ngọc Vân 1 trệt 4 lầu tiện làm spa, phòng khám - 119442420","5,4 tỷ","Đường Tô Ngọc Vân, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",90 triệu/m²,Đông Nam,Đã có sổ,Mặt bằng kinh doanh,,60 m²
SANG TIỆM NAILS ĐÃ HOẠT ĐỘNG HƠN 1 NĂM - 120071789,75 triệu,"95, Đường 1, Phường Phước Bình, Quận 9, Tp Hồ Chí Minh",625.000 đ/m²,Tây,Đã có sổ,Mặt bằng kinh doanh,Nội thất cao cấp,120 m²
BÁN KHO SHR 750M GIÁ RẺ BÌNH CHÁNH - 120098107,"10,5 tỷ","Đường Thích Thiện Hoà, Xã Lê Minh Xuân, Huyện Bình Chánh, Tp Hồ Chí Minh",14 triệu/m²,Tây Nam,Đã có sổ,Mặt bằng kinh doanh,,750 m²
Mặt tiền Nguyễn Sỹ Sách 3 lầu - 114015470,14 tỷ,"Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh","189,19 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,74 m²
"Shophouse 130m2 có lửng tại D-Vela, thuận tiện kinh doanh chỉ 5,5 tỷ - 118837130","5,5 tỷ","Số 1177, Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","42,31 triệu/m²",Tây Bắc,Đang chờ sổ,Shophouse,Hoàn thiện cơ bản,130 m²
Biệt thự mini 210m2-Q12-Nguyễn Ảnh Thủ - 119986813,"9,699 tỷ","Đường Trần Thị Năm, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh","46,19 triệu/m²",Tây,Đã có sổ,Shophouse,Nội thất cao cấp,210 m²
Mặt bằng kinh doanh 60m2 đường trần thị cờ quận 12 - 120042945,"7,2 tỷ","211, Đường Trần Thị Cờ, Phường Thới An, Quận 12, Tp Hồ Chí Minh",120 triệu/m²,,Đã có sổ,Mặt bằng kinh doanh,,60 m²
Sang Quán + Sang Vị Trí Tây Thạnh - 119638772,10 triệu,"Tây Thạnh, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",100.000 đ/m²,,Đã có sổ,Mặt bằng kinh doanh,,100 m²
Sang Quán CF Gò Vấp - 118867383,25 triệu,"Nguyễn Oanh, Phường 6, Quận Gò Vấp, Tp Hồ Chí Minh",83.333 đ/m²,,Đã có sổ,Mặt bằng kinh doanh,,300 m²
sang quán bàu cát vi trí đẹp góc nhỏ nhưng cực hiêu quả - 118057148,250 triệu,"Đường Bàu Cát, Phường 12, Quận Tân Bình, Tp Hồ Chí Minh","1,25 triệu/m²",Đông Nam,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,200 m²
"Bán Nhà Phường Phước Bình Giá 7,3 tỷ 88m2 - 119499192","7,3 tỷ","Đường số 13, Phường Phước Bình, Quận 9, Tp Hồ Chí Minh","82,95 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,88 m²
Nhà trống giao ngay - 119188268,150 tỷ,"16, Lê Lợi, Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh",1 tỷ/m²,Đông Nam,Đã có sổ,Mặt bằng kinh doanh,Hoàn thiện cơ bản,150 m²
Sang nhượng quán cafe cá koi siêu đẹp TP Thủ Đức - 117977760,"1,5 tỷ","Xxxx, Phường Bình Thọ, Quận Thủ Đức, Tp Hồ Chí Minh",1 triệu/m²,,Giấy tờ khác,Mặt bằng kinh doanh,,1500 m²
Gấp bán tòa nhà Văn phòng khu vực Xô viết nghệ Tĩnh khu Vip phường 17 - 119125106,"29,5 tỷ","Xô viết Nghệ Tĩnh, Phường 17, Quận Bình Thạnh, Tp Hồ Chí Minh","182,10 triệu/m²",,Đã có sổ,Văn phòng,Nội thất cao cấp,162 m²
Bán nhà mặt tiền đường Trần Cao Vân Phú Nhuận - 120094793,"3,65 triệu","Đường Trần Cao Vân, Phường 11, Quận Phú Nhuận, Tp Hồ Chí Minh",228.125 đ/m²,Nam,Đã có sổ,Mặt bằng kinh doanh,Hoàn thiện cơ bản,16 m²
mặt tiền kinh doanh khu vip bàu cát - 120094469,"13,5 tỷ","Đường Bàu Cát 1, Phường 14, Quận Tân Bình, Tp Hồ Chí Minh","198,53 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,68 m²
"Bán nhà xưởng mặt tiền Dương Công Khi, Tân Hiệp, Hóc Môn - 114147141","35,5 tỷ","Dương Công Khi, Xã Tân Hiệp, Huyện Hóc Môn, Tp Hồ Chí Minh","23,67 triệu/m²",,Đã có sổ,Văn phòng,Hoàn thiện cơ bản,1500 m²
BÁN NHÀ MẶT TIỀN KINH DOANH 5.5x31=172m2 An Phú Đông 9 gần chợ Vườn La - 119650002,"10,5 tỷ","Đường Vườn Lài, Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh","61,05 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,172 m²
Chuyển nhượng chi nhánh Đậu Má Mix Thống Nhất - Thủ Đức - 120092929,150 triệu,"Đường Thống Nhất, Phường Bình Thọ, Quận Thủ Đức, Tp Hồ Chí Minh","7,50 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,20 m²
"TOÀ NHÀ CHDV 8T LÂM VĂN BỀN DT 277M DTSD 2593M 77P FULL NT,HĐT 450TR/T - 120037763",87 tỷ,"Lâm văn bền tân kiểng, Phường Tân Kiểng, Quận 7, Tp Hồ Chí Minh","314,08 triệu/m²",,Đã có sổ,Officetel,Nội thất đầy đủ,277 m²
"Sang quán trà sữa MT Huỳnh Mẫn Đạt, TT quận 5 - 120065606",60 triệu,"Đường Huỳnh Mẫn Đạt, Phường 7, Quận 5, Tp Hồ Chí Minh","1,50 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,40 m²
"Bán Nhà 4 tầng MTKD đường Trần Thị Do, pHT, Q12, dt 56m (4mx14m) 5,75T - 117827647","5,75 tỷ","Đường Trần Thị Do, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh","102,68 triệu/m²",Đông Nam,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,56 m²
"Bán 206m Thổ Cư,Mặt Tiền Nguyễn Ảnh Thủ.Có Nhà 2 Lầu Đang Cho Thuê - 117423748",15 tỷ,"Nguyễn Ảnh Thủ, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh","72,82 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,206 m²
"Nhà cấp 4 mặt tiền kinh doanh đường ĐHT05, pĐHT, Q12, dt 67m2.Giá 5,5T - 117420002","5,5 tỷ","Đường Đông Hưng Thuận 5, Phường Tân Hưng Thuận, Quận 12, Tp Hồ Chí Minh","82,09 triệu/m²",Bắc,Đã có sổ,Mặt bằng kinh doanh,Nội thất đầy đủ,67 m²
Bán Nhà Mặt Tiền Đường Nguyễn Thị Tú - 117392112,19 tỷ,"Đường Nguyễn Thị Tú, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh","99,48 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,191 m²
Bán Xưởng Hóc Môn. - 119308971,15 tỷ,"Đường Nguyễn Thị Thử, Xã Xuân Thới Thượng, Huyện Hóc Môn, Tp Hồ Chí Minh","44,25 triệu/m²",Bắc,Đã có sổ,Officetel,,339 m²
Sang Quán Caffe Mặt Tiền Trần Hưng Đạo - 119290121,280 triệu,"Đường Trần Hưng Đạo, Phường 1, Quận 5, Tp Hồ Chí Minh","11,20 triệu/m²",Tây,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất cao cấp,25 m²
Bán shophouse TMDV trệt block MP2 - MP3 Mizuki Park - sẵn HĐ thuê - 116722821,"7,8 tỷ","Nguyễn Văn Linh, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh",78 triệu/m²,,Đã có sổ,Shophouse,,100 m²
3.35 Tỷ  NHÀ MẶT TIỀN HIỆP THÀNH 18 Q12 - 120035918,"3,35 tỷ","Đường Nguyễn Thị Thơi, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh","95,71 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,35 m²
Cần sang lại tiệm salon spa gội đầu dưỡng sinh - 120090107,35 triệu,"Đường Tỉnh lộ 10, Phường Tân Tạo A, Quận Bình Tân, Tp Hồ Chí Minh",437.500 đ/m²,,Giấy tờ khác,Mặt bằng kinh doanh,Nội thất đầy đủ,80 m²
MẶT TIỀN ĐƯỜNG NHỰA 20M - 4 TẦNG -  BÌNH PHÚ - 75M2 - CHỈ HƠN 15 TỶ - 120089802,15 tỷ,"Bình Phú, Phường 12, Quận 6, Tp Hồ Chí Minh",200 triệu/m²,,Đã có sổ,Mặt bằng kinh doanh,Nội thất cao cấp,75 m²
8*25 - 119933345,250 triệu,"Tô ký Ấp Mới Trung Chánh Hóc Môn , Xã Trung Chánh, Huyện Hóc Môn, Tp Hồ Chí Minh","1,25 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,200 m²
"Bán nhà dịch vụ đang cho thuê 15,86 ×18m - 120089394","26,5 tỷ","Đường Trịnh Đình Thảo, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh","92,98 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,285 m²
"Bán nhà chính chủ 34 Lê Hồng Phong, 3.5x15m, 2 tầng, 21.5 - 118081441","21,5 tỷ","34, Đường Lê Hồng Phong, Phường 4, Quận 5, Tp Hồ Chí Minh","409,52 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,52.5 m²
Bán nhà mặt tiền đường 3 tháng 2 quận 10 - 117370860,26 tỷ,"Đường 3 Tháng 2, Phường 10, Quận 10, Tp Hồ Chí Minh","619,05 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,Nội thất cao cấp,42 m²
"Bán kho xưởng mặt tiền Tân Long, Bình Chánh, tdt: 3.500m2, XD: 2.900m2 - 120086608",49 tỷ,"Tân Long , Xã Tân Nhựt, Huyện Bình Chánh, Tp Hồ Chí Minh",14 triệu/m²,,Đã có sổ,Mặt bằng kinh doanh,,3500 m²
Nhà mặt tiền kinh doanh xa lộ Hà Nội Hiệp Phú quận 9 11tỷ/64m2. - 120085543,11 tỷ,"Đường Xa lộ Hà Nội, Phường Hiệp Phú, Quận 9, Tp Hồ Chí Minh","171,88 triệu/m²",Tây Bắc,Đã có sổ,Mặt bằng kinh doanh,,64 m²
"bán căn shop mặt tiền hồ bơi cc DreamHome, hợp đồng kd cafe 9tr/tháng - 119359770","2,85 tỷ","Trịnh Quang Nghị, Phường 7, Quận 8, Tp Hồ Chí Minh","45,97 triệu/m²",Tây Bắc,Đang chờ sổ,Shophouse,Hoàn thiện cơ bản,62 m²
Bán nhà MT khu Tây Thạnh gần ĐH Công Thương 4x25m 3 Lầu đường 12m - 120084269,12 tỷ,"Đường D11, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",120 triệu/m²,,Đã có sổ,Mặt bằng kinh doanh,,100 m²
"MT kinh doanh 3 tầng, 36 Trần Cao Vân Phú Nhuận, thuê 15tr/ tháng - 120083880","3,65 tỷ","Trần Cao Vân, Phường 11, Quận Phú Nhuận, Tp Hồ Chí Minh","228,12 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,16 m²
BÁN GẤP TÒA NHÀ VP NGUYỄN VĂN TRỖI - 120083123,"45,6 tỷ","Đường Nguyễn Văn Trỗi, Phường 8, Quận Phú Nhuận, Tp Hồ Chí Minh","198,26 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,230 m²
TÒA NHÀ 5 TẦNG LIÊN KHU 10-11 CHO THUÊ 40TR/THÁNG (HỢP ĐỒNG ĐẾN 2028) - 119062746,"12,5 tỷ","Đường Liên khu 10-11, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh","22,20 triệu/m²",Đông,Đã có sổ,Văn phòng,Nội thất đầy đủ,563 m²
"sang quan bida 7 bàn tai Tân thuận Tây,quận 7 - 120081599",252 triệu,"Đường Tân Mỹ, Phường Tân Thuận Tây, Quận 7, Tp Hồ Chí Minh","1,26 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,200 m²
nhà Mt Lê Văn Khương . (24x20m)  Ngay Ngã 4 Trịnh Thị Dối - 119382185,"19,5 tỷ","Đường Lê Văn Khương, Xã Đông Thạnh, Huyện Hóc Môn, Tp Hồ Chí Minh","47,56 triệu/m²",Đông Nam,Đã có sổ,Mặt bằng kinh doanh,,410 m²
sang clb bida 15 ban tai thu duc - 119599347,"1,8 tỷ","Trường thọ, Phường Trường Thọ, Quận Thủ Đức, Tp Hồ Chí Minh","4,50 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,400 m²
sang clb bida 13 ban - 119599425,"1,05 tỷ","Đường Bình Trị Đông, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh","3,50 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,300 m²
sang quan bida 5 ban tai thu duc - 119599477,150 triệu,"Đường Liên Phường, Phường Phước Long B, Quận 9, Tp Hồ Chí Minh","1,25 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,120 m²
"sang clb bida Tân Phú,TPhcm - 119599798",600 triệu,"Đường Kênh Tân Hóa, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",3 triệu/m²,,Đã có sổ,Mặt bằng kinh doanh,,200 m²
sang quan bida mt dep tai tan bình - 119599871,400 triệu,"Đường Cộng Hòa, Phường 13, Quận Tân Bình, Tp Hồ Chí Minh","1,82 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,220 m²
sang clb bida va quán caphe - 118772360,"1,07 tỷ","Đường Quang Trung, Phường 12, Quận Gò Vấp, Tp Hồ Chí Minh",823.076 đ/m²,,Đã có sổ,Mặt bằng kinh doanh,,1300 m²
sang clb bida 13 bàn tai hóc môn - 115506815,810 triệu,"Đường Trần Văn Mười, Xã Xuân Thới Thượng, Huyện Hóc Môn, Tp Hồ Chí Minh","2,02 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,400 m²
sang 10 bàn bida tai binh hung hoa bình Tân - 118897993,280 triệu,"Đường Tân Kỳ Tân Quý, Phường Bình Hưng Hòa, Quận Bình Tân, Tp Hồ Chí Minh","1,22 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,230 m²
"sang quán bida tai quận 1 ,tphcm - 119192265","2,5 tỷ","Gần Đề Thám, Phường Cô Giang, Quận 1, Tp Hồ Chí Minh","7,14 triệu/m²",,Đã có sổ,Mặt bằng kinh doanh,,350 m²
